epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.139,1.20468,3.91591,1.90431,0.79582,0.81244,0.89506,0.67463,1.65865,1.69265,2.27953,0.000195724,0.000195724,0.000195724
2,912.776,1.15102,0.89354,1.86717,0.90672,0.87044,0.95422,0.73354,1.65714,1.12652,2.31749,0.000383968,0.000383968,0.000383968
3,1361.56,1.11088,0.77327,1.85528,0.87017,0.85607,0.95018,0.7667,1.47247,1.2067,2.14749,0.00056445,0.00056445,0.00056445
4,1808.93,1.00417,0.64826,1.81631,0.90721,0.90626,0.96779,0.8075,1.33589,0.88994,2.0749,0.000553073,0.000553073,0.000553073
5,2255.92,0.9339,0.57473,1.79296,0.93698,0.94519,0.98372,0.83573,1.26041,0.67173,2.02372,0.00054143,0.00054143,0.00054143
6,2702.29,0.87213,0.51778,1.76605,0.96556,0.95901,0.98992,0.85922,1.15804,0.58883,1.93794,0.000529788,0.000529788,0.000529788
7,3148.09,0.83331,0.4899,1.75522,0.96557,0.96965,0.99059,0.85745,1.18579,0.59549,1.94905,0.000518146,0.000518146,0.000518146
8,3593.72,0.81693,0.47432,1.74025,0.97125,0.97397,0.99277,0.86725,1.10809,0.54235,1.90158,0.000506503,0.000506503,0.000506503
9,4040.39,0.78512,0.44786,1.73275,0.97608,0.97284,0.99231,0.88183,1.05518,0.50719,1.8738,0.000494861,0.000494861,0.000494861
10,4486.97,0.75674,0.44148,1.73099,0.9635,0.96545,0.99098,0.88427,1.03446,0.53311,1.84818,0.000483218,0.000483218,0.000483218
11,4933.49,0.72693,0.41661,1.7133,0.97947,0.97976,0.99382,0.89075,1.01913,0.46212,1.84793,0.000471576,0.000471576,0.000471576
12,5379.98,0.7103,0.4075,1.71415,0.97602,0.98293,0.99332,0.89004,1.00911,0.45395,1.84318,0.000459934,0.000459934,0.000459934
13,5826.3,0.67665,0.38511,1.69722,0.98459,0.97641,0.99308,0.8924,1.00134,0.47148,1.83473,0.000448291,0.000448291,0.000448291
14,6272.69,0.68592,0.3886,1.70552,0.98273,0.98871,0.99441,0.89831,0.96917,0.41247,1.81861,0.000436649,0.000436649,0.000436649
15,6719.06,0.66418,0.37615,1.69366,0.98045,0.98902,0.99427,0.89472,0.97609,0.43012,1.82076,0.000425006,0.000425006,0.000425006
16,7165.28,0.6563,0.36461,1.69715,0.98678,0.98678,0.99448,0.90864,0.90258,0.39383,1.77677,0.000413364,0.000413364,0.000413364
17,7611.21,0.64017,0.36459,1.689,0.98366,0.98909,0.9947,0.90998,0.90022,0.38971,1.77011,0.000401722,0.000401722,0.000401722
18,8057.14,0.61743,0.33409,1.68212,0.98301,0.9922,0.99444,0.91063,0.90912,0.38875,1.77825,0.000390079,0.000390079,0.000390079
